J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-05-08,2024-07-29,Monday,16190,16700,16190,16650,16300,1828269,29794478420,327,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13894,14331,13894,14288,13988
1403-05-09,2024-07-30,Tuesday,16170,16740,16110,16570,16380,230624,3776872740,311,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13877,14366,13825,14220,14057
1403-05-10,2024-07-31,Wednesday,15400,15700,15400,15400,15400,2080288,32036969760,571,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13216,13473,13216,13216,13216
1403-05-13,2024-08-03,Saturday,15120,15570,14480,14480,14540,1555050,22609740500,722,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12975,13362,12426,12426,12478
1403-05-14,2024-08-04,Sunday,14460,14680,14400,14570,14570,648593,9447355540,452,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12409,12598,12358,12503,12503
1403-05-15,2024-08-05,Monday,14470,14500,14430,14430,14430,2264404,32677489350,443,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12418,12443,12383,12383,12383
1403-05-16,2024-08-06,Tuesday,14450,14470,14290,14310,14360,689884,9887226700,684,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12400,12418,12263,12280,12323
1403-05-20,2024-08-10,Saturday,14360,14400,14330,14330,14360,66828,959030580,156,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12323,12358,12297,12297,12323
1403-05-21,2024-08-11,Sunday,14220,14370,14220,14220,14320,294497,4191618530,231,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12203,12332,12203,12203,12289
1403-05-22,2024-08-12,Monday,14180,14340,14180,14250,14310,165716,2360605800,630,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12169,12306,12169,12229,12280
1403-05-23,2024-08-13,Tuesday,14170,14170,14170,14170,14260,382059,5413776030,221,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12160,12160,12160,12160,12237
1403-05-24,2024-08-14,Wednesday,14400,14400,14400,14400,14270,65432,942220800,149,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12358,12358,12358,12358,12246
1403-05-27,2024-08-17,Saturday,14040,14550,14040,14410,14350,303730,4418044450,196,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12049,12486,12049,12366,12315
1403-05-28,2024-08-18,Sunday,14600,14630,14600,14630,14370,60763,888872690,140,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12529,12555,12529,12555,12332
1403-05-29,2024-08-19,Monday,14650,14650,14150,14640,14450,306132,4482595980,214,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12572,12572,12143,12563,12400
1403-05-30,2024-08-20,Tuesday,14170,14450,14170,14220,14440,60424,864446330,85,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12160,12400,12160,12203,12392
1403-05-31,2024-08-21,Wednesday,14170,14700,14170,14570,14460,224443,3259403700,315,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12160,12615,12160,12503,12409
1403-06-03,2024-08-24,Saturday,14210,14740,14210,14740,14520,233047,3435054000,168,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12194,12649,12194,12649,12461
1403-06-05,2024-08-26,Monday,14810,14810,14810,14810,14550,120317,1781894770,150,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12709,12709,12709,12709,12486
1403-06-06,2024-08-27,Tuesday,14840,14840,14810,14840,14620,250994,3722091480,198,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12735,12735,12709,12735,12546
1403-06-07,2024-08-28,Wednesday,14910,14910,14910,14910,14640,59792,891498720,127,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12795,12795,12795,12795,12563
1403-06-10,2024-08-31,Saturday,14930,14930,14930,14930,14650,39334,587256620,135,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12812,12812,12812,12812,12572
1403-06-11,2024-09-01,Sunday,14940,14940,14940,14940,14830,644523,9629173620,152,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12821,12821,12821,12821,12727
1403-06-13,2024-09-03,Tuesday,15120,15120,15120,15120,14960,443727,6709152240,156,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12975,12975,12975,12975,12838
1403-06-19,2024-09-09,Monday,15400,15400,15400,15400,14980,35604,548301600,110,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13216,13216,13216,13216,12855
1403-06-20,2024-09-10,Tuesday,15420,15420,15420,15420,15160,400627,6177668340,178,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13233,13233,13233,13233,13010
1403-06-21,2024-09-11,Wednesday,15610,15610,15610,15610,15360,438672,6847669920,189,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13396,13396,13396,13396,13181
1403-06-24,2024-09-14,Saturday,15820,15820,15820,15820,15580,468242,7407588440,174,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13576,13576,13576,13576,13370
1403-06-25,2024-09-15,Sunday,16040,16040,16040,16040,16000,897372,14393846880,143,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13765,13765,13765,13765,13731
1403-06-26,2024-09-16,Monday,16480,16480,16050,16480,16410,5035588,82620668610,611,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14143,14143,13774,14143,14083
1403-06-27,2024-09-17,Tuesday,16900,16900,16900,16900,16670,511175,8638857500,154,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14503,14503,14503,14503,14306
1403-06-28,2024-09-18,Wednesday,17170,17170,16920,17170,17170,1871909,32139910450,235,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14735,14735,14520,14735,14735
1403-07-01,2024-09-22,Sunday,17680,17680,17260,17320,17610,1884877,33193739420,386,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15172,15172,14812,14863,15112
1403-07-02,2024-09-23,Monday,17330,17900,17090,17500,17240,4591193,79148753000,511,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14872,15361,14666,15018,14795
1403-07-03,2024-09-24,Tuesday,17100,17700,17100,17230,17260,1098291,18953538240,377,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14675,15190,14675,14786,14812
1403-07-04,2024-09-25,Wednesday,17520,17650,16850,17270,17310,1241360,21488799430,367,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,15035,15147,14460,14821,14855
1403-07-07,2024-09-28,Saturday,17140,17400,17140,17140,17140,2671015,45782706300,247,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14709,14932,14709,14709,14709
1403-07-08,2024-09-29,Sunday,17010,17310,16970,17290,17120,446595,7634439860,427,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14597,14855,14563,14838,14692
1403-07-09,2024-09-30,Monday,17290,17290,16960,16980,17110,294535,5031826340,138,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14838,14838,14555,14572,14683
1403-07-10,2024-10-01,Tuesday,16940,17270,16940,16940,16980,910808,15467452930,679,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14537,14821,14537,14537,14572
1403-07-11,2024-10-02,Wednesday,16820,17110,16820,16820,16830,1883286,31702627850,939,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14434,14683,14434,14434,14443
1403-07-14,2024-10-05,Saturday,16830,16830,16670,16750,16680,1006480,16786328360,454,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14443,14443,14306,14374,14314
1403-07-15,2024-10-06,Sunday,16520,16520,16520,16520,16610,378169,6247351880,35,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14177,14177,14177,14177,14254
1403-07-16,2024-10-07,Monday,16450,16760,16450,16600,16510,1171075,19328885990,1415,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14117,14383,14117,14246,14168
1403-07-17,2024-10-08,Tuesday,16350,16670,16350,16430,16430,715475,11745422400,300,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14031,14306,14031,14100,14100
1403-07-18,2024-10-09,Wednesday,16580,16590,16520,16570,16460,224146,3711417290,287,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14228,14237,14177,14220,14125
1403-07-21,2024-10-12,Saturday,16540,16950,16540,16930,16550,207269,3490832570,250,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14194,14546,14194,14529,14203
1403-07-22,2024-10-13,Sunday,16790,17040,16590,16800,16640,325069,5465156840,355,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14409,14623,14237,14417,14280
1403-07-23,2024-10-14,Monday,16160,16640,16150,16640,16420,443567,7176016720,207,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13868,14280,13859,14280,14091
1403-07-24,2024-10-15,Tuesday,15970,16910,15960,16880,16750,2849061,47721131140,285,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13705,14512,13696,14486,14374
1403-07-25,2024-10-16,Wednesday,16900,17220,16750,17190,16930,836020,14164272490,361,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14503,14778,14374,14752,14529
1403-07-28,2024-10-19,Saturday,16550,17230,16430,16430,16630,585637,9649439230,244,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14203,14786,14100,14100,14271
1403-07-29,2024-10-20,Sunday,16250,16440,16180,16180,16520,229667,3722532270,202,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13945,14108,13885,13885,14177
1403-07-30,2024-10-21,Monday,16050,16520,16030,16030,16280,482414,7759343330,308,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13774,14177,13756,13756,13971
1403-08-01,2024-10-22,Tuesday,16470,16470,15800,15800,16090,398557,6321181930,114,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14134,14134,13559,13559,13808
1403-08-02,2024-10-23,Wednesday,15610,15610,15610,15610,15930,303803,4742364830,26,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13396,13396,13396,13396,13671
1403-08-05,2024-10-26,Saturday,15460,16400,15460,16400,16090,680757,10995029690,333,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13267,14074,13267,14074,13808
1403-08-06,2024-10-27,Sunday,16500,16570,16170,16570,16220,247086,4094073700,176,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14160,14220,13877,14220,13919
1403-08-07,2024-10-28,Monday,16570,16700,15830,16130,16180,440766,7108460510,212,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,14220,14331,13585,13842,13885
1403-08-08,2024-10-29,Tuesday,16180,16180,15700,15700,15800,1513927,23924889270,807,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13885,13885,13473,13473,13559
1403-08-09,2024-10-30,Wednesday,15700,16180,15700,15940,15820,193091,3069559460,224,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13473,13885,13473,13679,13576
1403-08-12,2024-11-02,Saturday,15450,15820,15350,15360,15770,187485,2922023010,223,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13259,13576,13173,13181,13533
1403-08-13,2024-11-03,Sunday,16200,16200,15300,15300,15670,200770,3072105840,47,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13902,13902,13130,13130,13447
1403-08-14,2024-11-04,Monday,15200,15300,15200,15200,15400,547641,8325915610,271,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13044,13130,13044,13044,13216
1403-08-15,2024-11-05,Tuesday,15000,15380,14960,15080,15350,123818,1861222870,183,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12872,13199,12838,12941,13173
1403-08-16,2024-11-06,Wednesday,14970,15520,14890,15080,15270,196179,2933108320,196,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,12847,13319,12778,12941,13104
1403-08-19,2024-11-09,Saturday,15720,15720,15720,15720,15410,298138,4686729360,142,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13490,13490,13490,13490,13224
1403-08-20,2024-11-10,Sunday,15870,15870,15870,15870,15560,311798,4948234260,148,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13619,13619,13619,13619,13353
1403-08-21,2024-11-11,Monday,16020,16020,15380,15730,15680,366336,5819994570,278,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13748,13748,13199,13499,13456
1403-08-22,2024-11-12,Tuesday,15250,15870,15250,15400,15670,129304,2018115810,220,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13087,13619,13087,13216,13447
1403-08-23,2024-11-13,Wednesday,15240,15750,15200,15480,15280,1146892,17522358890,480,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13078,13516,13044,13284,13113
1403-08-26,2024-11-16,Saturday,15500,15730,15400,15730,15550,791612,12360499930,327,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13302,13499,13216,13499,13344
1403-08-27,2024-11-17,Sunday,15990,16000,15170,15700,15620,357212,5627147190,279,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13722,13731,13018,13473,13405
1403-08-28,2024-11-18,Monday,15420,16080,15420,16080,16010,1076048,17225769880,352,زفجر,کشاورزی و دامپروری فجر اصفهان,فرابورس,13233,13799,13233,13799,13739
