J-Date,Date,Weekday,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1403-02-01,2024-04-20,Saturday,13080,13600,12870,13600,13250,1019859,13513621180,61,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12814,13324,12608,13324,12981
1403-02-02,2024-04-21,Sunday,13640,13640,13210,13640,13460,830550,11315066960,45,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13363,13363,12941,13363,13186
1403-02-03,2024-04-22,Monday,13860,13860,13860,13860,13860,1508914,20913548040,37,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13578,13578,13578,13578,13578
1403-02-04,2024-04-23,Tuesday,14270,14270,14270,14270,13870,47672,680279440,7,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13980,13980,13980,13980,13588
1403-02-05,2024-04-24,Wednesday,14280,14280,14280,14280,14280,1960224,27991998720,40,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13990,13990,13990,13990,13990
1403-02-08,2024-04-27,Saturday,14700,14700,14700,14700,14320,122382,1799015400,11,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14401,14401,14401,14401,14029
1403-02-09,2024-04-28,Sunday,14740,14740,14740,14740,14410,295059,4349169660,15,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14440,14440,14440,14440,14117
1403-02-10,2024-04-29,Monday,14840,14840,14840,14840,14410,700,10388000,2,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14538,14538,14538,14538,14117
1403-02-11,2024-04-30,Tuesday,14840,14840,14840,14840,14840,1576569,23396283960,30,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14538,14538,14538,14538,14538
1403-02-12,2024-05-01,Wednesday,15280,15280,15280,15280,15280,1489806,22764235680,47,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14969,14969,14969,14969,14969
1403-02-16,2024-05-05,Sunday,15730,15730,15000,15000,15530,3924123,60955536460,266,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,15410,15410,14695,14695,15214
1403-02-17,2024-05-06,Monday,15070,15070,15070,15070,15500,104343,1572449010,12,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14764,14764,14764,14764,15185
1403-02-18,2024-05-07,Tuesday,15040,15040,15040,15040,15500,10000,150400000,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14734,14734,14734,14734,15185
1403-02-19,2024-05-08,Wednesday,15040,15040,15040,15040,15500,3742,56279680,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14734,14734,14734,14734,15185
1403-02-22,2024-05-11,Saturday,15040,15040,15040,15040,15500,3333,50128320,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14734,14734,14734,14734,15185
1403-02-23,2024-05-12,Sunday,15040,15040,15040,15040,15500,6666,100256640,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14734,14734,14734,14734,15185
1403-02-29,2024-05-18,Saturday,15040,15040,15040,15040,15500,5100,76704000,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14734,14734,14734,14734,15185
1403-03-08,2024-05-28,Tuesday,15190,15190,15190,15190,15480,88898,1350360620,3,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14881,14881,14881,14881,15165
1403-03-09,2024-05-29,Wednesday,15180,15180,15180,15180,15480,13783,209225940,4,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14872,14872,14872,14872,15165
1403-03-22,2024-06-11,Tuesday,15180,15180,15180,15180,15470,42672,647760960,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14872,14872,14872,14872,15156
1403-03-29,2024-06-18,Tuesday,15170,15170,15170,15170,15470,5000,75850000,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14862,14862,14862,14862,15156
1403-04-17,2024-07-07,Sunday,15010,15010,15010,15010,15010,15002,225180020,4,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14705,14705,14705,14705,14705
1403-04-23,2024-07-13,Saturday,14560,14560,14560,14560,14560,15345,223423200,7,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,14264,14264,14264,14264,14264
1403-04-24,2024-07-14,Sunday,14130,14130,14130,14130,14130,17030,240633900,9,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13843,13843,13843,13843,13843
1403-05-14,2024-08-04,Sunday,13990,13990,13990,13990,13990,4882,68299180,1,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13706,13706,13706,13706,13706
1403-05-15,2024-08-05,Monday,13860,13860,13860,13860,13860,188500,2612610000,6,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13578,13578,13578,13578,13578
1403-06-10,2024-08-31,Saturday,13590,13590,13590,13590,13590,13777,187229430,2,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13314,13314,13314,13314,13314
1403-06-13,2024-09-03,Tuesday,13320,13320,13320,13320,13320,74209,988463880,5,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,13049,13049,13049,13049,13049
1403-06-17,2024-09-07,Saturday,12930,12930,12930,12930,12930,687514,8889556020,10,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,12667,12667,12667,12667,12667
