source,target,source_scenario,target_scenario,source_valuation,source_price,source_upside,target_valuation,target_price,target_upside,decision,score
گکوثر,زدشت,بدبینانه,خوشبینانه,1316888.1251443417,2237,58768.49017185256,1350631.4202563248,30450,4335.571166687438,نگهداری,-54432.919005165124
گکوثر,زدشت,بدبینانه,خنثی,1316888.1251443417,2237,58768.49017185256,1344692.657272534,30450,4316.067839975481,نگهداری,-54452.422331877075
گکوثر,زدشت,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,1341219.290286321,30450,4304.661051843418,نگهداری,-54463.82912000914
گکوثر,وسنا,خوشبینانه,خوشبینانه,2179163.4684104286,2237,97314.54932545501,10144112.791813057,13370,75772.19739575959,نگهداری,-21542.35192969542
گکوثر,وسنا,خوشبینانه,خنثی,2179163.4684104286,2237,97314.54932545501,10027829.559984842,13370,74902.4649213526,نگهداری,-22412.08440410241
گکوثر,وسنا,خوشبینانه,بدبینانه,2179163.4684104286,2237,97314.54932545501,9959821.176611565,13370,74393.80087218822,نگهداری,-22920.748453266788
گکوثر,وسنا,خنثی,خوشبینانه,1635666.628093287,2237,73018.75852003966,10144112.791813057,13370,75772.19739575959,تخصیص,2753.438875719934
گکوثر,وسنا,خنثی,خنثی,1635666.628093287,2237,73018.75852003966,10027829.559984842,13370,74902.4649213526,تخصیص,1883.706401312942
گکوثر,وسنا,خنثی,بدبینانه,1635666.628093287,2237,73018.75852003966,9959821.176611565,13370,74393.80087218822,تخصیص,1375.0423521485645
گکوثر,وسنا,بدبینانه,خوشبینانه,1316888.1251443417,2237,58768.49017185256,10144112.791813057,13370,75772.19739575959,تخصیص,17003.707223907033
گکوثر,وسنا,بدبینانه,خنثی,1316888.1251443417,2237,58768.49017185256,10027829.559984842,13370,74902.4649213526,تخصیص,16133.974749500041
گکوثر,وسنا,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,9959821.176611565,13370,74393.80087218822,تخصیص,15625.310700335664
گکوثر,کگاز,خوشبینانه,خوشبینانه,2179163.4684104286,2237,97314.54932545501,1894340.5236672417,28350,6581.97715579274,نگهداری,-90732.57216966226
گکوثر,کگاز,خوشبینانه,خنثی,2179163.4684104286,2237,97314.54932545501,1887525.742748277,28350,6557.939127859883,نگهداری,-90756.61019759513
